,question,answer,image_path
0,what is the blue shape?,rectangle,./data/train/images/0.png
1,what color is the shape?,blue,./data/train/images/0.png
2,does the image contain a rectangle?,yes,./data/train/images/0.png
3,is there a triangle in the image?,no,./data/train/images/0.png
4,is there a black shape?,no,./data/train/images/0.png
5,does the image not contain a gray shape?,yes,./data/train/images/0.png
6,is there a red shape in the image?,no,./data/train/images/0.png
7,does the image not contain a red shape?,yes,./data/train/images/0.png
8,is there not a blue shape?,no,./data/train/images/0.png
9,is there not a blue shape in the image?,no,./data/train/images/0.png
10,is there not a yellow shape?,yes,./data/train/images/0.png
11,is a teal shape present?,no,./data/train/images/0.png
12,what color is the triangle?,blue,./data/train/images/1.png
13,what color is the shape?,blue,./data/train/images/1.png
14,is there not a rectangle in the image?,yes,./data/train/images/1.png
15,is there a red shape?,no,./data/train/images/1.png
16,is there a green shape in the image?,no,./data/train/images/1.png
17,is there not a teal shape?,yes,./data/train/images/1.png
18,what shape is in the image?,triangle,./data/train/images/2.png
19,what shape does the image contain?,triangle,./data/train/images/2.png
20,what color is the triangle?,red,./data/train/images/2.png
21,what is the color of the triangle?,red,./data/train/images/2.png
22,is there a circle?,no,./data/train/images/2.png
23,does the image contain a green shape?,no,./data/train/images/2.png
24,is there a blue shape in the image?,no,./data/train/images/2.png
25,is there a teal shape?,no,./data/train/images/2.png
26,is there not a teal shape in the image?,yes,./data/train/images/2.png
27,what shape is present?,rectangle,./data/train/images/3.png
28,what shape does the image contain?,rectangle,./data/train/images/3.png
29,what color is the rectangle?,brown,./data/train/images/3.png
30,what is the color of the rectangle?,brown,./data/train/images/3.png
31,what is the color of the shape?,brown,./data/train/images/3.png
32,does the image not contain a circle?,yes,./data/train/images/3.png
33,does the image contain a triangle?,no,./data/train/images/3.png
34,does the image contain a gray shape?,no,./data/train/images/3.png
35,is there a blue shape?,no,./data/train/images/3.png
36,is no yellow shape present?,yes,./data/train/images/3.png
37,is there not a brown shape?,no,./data/train/images/3.png
38,what is the red shape?,circle,./data/train/images/4.png
39,what is the color of the circle?,red,./data/train/images/4.png
40,what is the color of the shape?,red,./data/train/images/4.png
41,is there not a rectangle in the image?,yes,./data/train/images/4.png
42,is a circle present?,yes,./data/train/images/4.png
43,does the image not contain a circle?,no,./data/train/images/4.png
44,is there a black shape?,no,./data/train/images/4.png
45,is there not a gray shape?,yes,./data/train/images/4.png
46,does the image contain a red shape?,yes,./data/train/images/4.png
47,does the image contain a yellow shape?,no,./data/train/images/4.png
48,is there not a yellow shape in the image?,yes,./data/train/images/4.png
49,is there a teal shape?,no,./data/train/images/4.png
50,is there a brown shape in the image?,no,./data/train/images/4.png
51,is there not a brown shape in the image?,yes,./data/train/images/4.png
52,what is the yellow shape?,triangle,./data/train/images/5.png
53,what color is the triangle?,yellow,./data/train/images/5.png
54,what is the color of the triangle?,yellow,./data/train/images/5.png
55,is a rectangle present?,no,./data/train/images/5.png
56,is there not a circle?,yes,./data/train/images/5.png
57,is there a triangle?,yes,./data/train/images/5.png
58,is a green shape present?,no,./data/train/images/5.png
59,does the image contain a yellow shape?,yes,./data/train/images/5.png
60,is there a brown shape in the image?,no,./data/train/images/5.png
61,what is the red shape?,circle,./data/train/images/6.png
62,what is the color of the circle?,red,./data/train/images/6.png
63,what is the color of the shape?,red,./data/train/images/6.png
64,is no rectangle present?,yes,./data/train/images/6.png
65,does the image contain a circle?,yes,./data/train/images/6.png
66,is there not a circle?,no,./data/train/images/6.png
67,is there not a triangle in the image?,yes,./data/train/images/6.png
68,does the image not contain a gray shape?,yes,./data/train/images/6.png
69,is there a green shape?,no,./data/train/images/6.png
70,is there a blue shape?,no,./data/train/images/6.png
71,is a blue shape present?,no,./data/train/images/6.png
72,is a yellow shape present?,no,./data/train/images/6.png
73,is no teal shape present?,yes,./data/train/images/6.png
74,what is the color of the circle?,black,./data/train/images/7.png
75,is a rectangle present?,no,./data/train/images/7.png
76,is there not a triangle?,yes,./data/train/images/7.png
77,is there not a gray shape?,yes,./data/train/images/7.png
78,is there not a gray shape in the image?,yes,./data/train/images/7.png
79,is there a red shape?,no,./data/train/images/7.png
80,is there not a brown shape?,yes,./data/train/images/7.png
81,what is the color of the rectangle?,brown,./data/train/images/8.png
82,does the image not contain a circle?,yes,./data/train/images/8.png
83,is no gray shape present?,yes,./data/train/images/8.png
84,does the image contain a red shape?,no,./data/train/images/8.png
85,is no red shape present?,yes,./data/train/images/8.png
86,does the image not contain a green shape?,yes,./data/train/images/8.png
87,is there a blue shape in the image?,no,./data/train/images/8.png
88,does the image not contain a blue shape?,yes,./data/train/images/8.png
89,is there a teal shape in the image?,no,./data/train/images/8.png
90,is there a brown shape in the image?,yes,./data/train/images/8.png
91,what shape is in the image?,rectangle,./data/train/images/9.png
92,what is the yellow shape?,rectangle,./data/train/images/9.png
93,what is the color of the rectangle?,yellow,./data/train/images/9.png
94,what color is the shape?,yellow,./data/train/images/9.png
95,is there a rectangle?,yes,./data/train/images/9.png
96,is a gray shape present?,no,./data/train/images/9.png
97,is a red shape present?,no,./data/train/images/9.png
98,is no red shape present?,yes,./data/train/images/9.png
99,does the image not contain a blue shape?,yes,./data/train/images/9.png
100,is there a brown shape?,no,./data/train/images/9.png
101,does the image not contain a brown shape?,yes,./data/train/images/9.png
102,what shape is in the image?,circle,./data/train/images/10.png
103,what shape does the image contain?,circle,./data/train/images/10.png
104,what color is the circle?,brown,./data/train/images/10.png
105,is there not a rectangle?,yes,./data/train/images/10.png
106,is there a circle in the image?,yes,./data/train/images/10.png
107,is a triangle present?,no,./data/train/images/10.png
108,is a black shape present?,no,./data/train/images/10.png
109,does the image contain a gray shape?,no,./data/train/images/10.png
110,is there not a green shape in the image?,yes,./data/train/images/10.png
111,is no brown shape present?,no,./data/train/images/10.png
112,what is the color of the triangle?,blue,./data/train/images/11.png
113,what color is the shape?,blue,./data/train/images/11.png
114,is there not a rectangle in the image?,yes,./data/train/images/11.png
115,is there not a circle in the image?,yes,./data/train/images/11.png
116,is there a black shape in the image?,no,./data/train/images/11.png
117,does the image contain a black shape?,no,./data/train/images/11.png
118,is there not a black shape in the image?,yes,./data/train/images/11.png
119,does the image contain a gray shape?,no,./data/train/images/11.png
120,is there a blue shape?,yes,./data/train/images/11.png
121,is a blue shape present?,yes,./data/train/images/11.png
122,is there a brown shape in the image?,no,./data/train/images/11.png
123,what shape is in the image?,circle,./data/train/images/12.png
124,what shape does the image contain?,circle,./data/train/images/12.png
125,what is the yellow shape?,circle,./data/train/images/12.png
126,what color is the shape?,yellow,./data/train/images/12.png
127,what is the color of the shape?,yellow,./data/train/images/12.png
128,is there not a circle?,no,./data/train/images/12.png
129,is there a black shape?,no,./data/train/images/12.png
130,is there not a black shape in the image?,yes,./data/train/images/12.png
131,is there a gray shape in the image?,no,./data/train/images/12.png
132,is a gray shape present?,no,./data/train/images/12.png
133,does the image not contain a gray shape?,yes,./data/train/images/12.png
134,is no gray shape present?,yes,./data/train/images/12.png
135,is there a green shape?,no,./data/train/images/12.png
136,is there not a yellow shape in the image?,no,./data/train/images/12.png
137,what shape is present?,rectangle,./data/train/images/13.png
138,what is the color of the shape?,brown,./data/train/images/13.png
139,is a rectangle present?,yes,./data/train/images/13.png
140,does the image contain a circle?,no,./data/train/images/13.png
141,is there not a triangle?,yes,./data/train/images/13.png
142,is there a gray shape in the image?,no,./data/train/images/13.png
143,is a gray shape present?,no,./data/train/images/13.png
144,is there not a red shape?,yes,./data/train/images/13.png
145,does the image not contain a red shape?,yes,./data/train/images/13.png
146,is there not a yellow shape in the image?,yes,./data/train/images/13.png
147,is a teal shape present?,no,./data/train/images/13.png
148,what shape is present?,circle,./data/train/images/14.png
149,what is the yellow shape?,circle,./data/train/images/14.png
150,is there a circle?,yes,./data/train/images/14.png
151,does the image contain a triangle?,no,./data/train/images/14.png
152,is there not a green shape?,yes,./data/train/images/14.png
153,is there not a brown shape in the image?,yes,./data/train/images/14.png
154,what shape is present?,rectangle,./data/train/images/15.png
